Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Mikael,Andersson,Parkstigen 3,Lidköping,80251,Sverige,SE,19460226-6588,+46,0414-617 54,1946-02-26,True
Martin,Myhre,Ahmedvika 4,Janodden,9821,Norge,NO,19950909-7737,+47,53 12 05 25,1995-09-09,True
James,Hart,Raven Mountains 741,Marcville,81023,Danmark,DK,19710530-9205,+45,001-274-816-1295,1971-05-30,True
Olof,Sundin,Parkstigen 979,Stockholm,11428,Sverige,SE,19801126-9071,+46,+46 (0)485 853 88,1980-11-26,True
Gunnar,Pettersson,Fabriksgatan 43,Borlänge,45620,Sverige,SE,19951018-6213,+46,+46 (0)8 805 318 60,1995-10-18,True
Courtney,Cook,Swanson Hills 677,Ryanfort,11749,Danmark,DK,19840130-6294,+45,001-356-839-4116x067,1984-01-30,True
Anna,Karlsson,Stationsstigen 4,Norrköping,14729,Sverige,SE,19600913-0358,+46,038-694 66 57,1960-09-13,True
Hannah,Smith,King Ville 23094,Williamstown,30843,Danmark,DK,19500810-3405,+45,(236)472-3219,1950-08-10,True
Arild,Isaksen,Ødegårdskogen 1B,Andreasjøen,4776,Norge,NO,19540319-4422,+47,499 72 435,1954-03-19,True
Sara,Jenssen,Thorsenmoen 2,Myhre,9815,Norge,NO,19420615-2358,+47,28545291,1942-06-15,True
Roar,Johnsen,Johansenhagen 29H,Ruud,6618,Norge,NO,19560719-6465,+47,47838527,1956-07-19,True
Stian,Simonsen,Jakobsenhavna 3,Dahl,2309,Norge,NO,19680529-8634,+47,904 12 733,1968-05-29,True
Natalie,Curtis,Silva Cliffs 12861,Michellefurt,48456,Danmark,DK,19820619-5614,+45,2264438791,1982-06-19,True
Stig,Karlsson,Parkvägen 030,Uppsala,35056,Sverige,SE,19910802-3914,+46,+46 (0)47 36 44 17,1991-08-02,True
Sven,Gustavsson,Ekvägen 89,Kalmar,33142,Sverige,SE,19730118-4831,+46,+46 (0)77 21 39 41,1973-01-18,True
Ingrid,Gustafsson,Gengatan 820,Umeå,71755,Sverige,SE,19920912-6618,+358,08-891 908 16,1992-09-12,True
Crystal,Williams,John Ports 9681,West Patrick,39921,Sverige,DK,19920316-2088,+45,+1-505-345-9204x53775,1992-03-16,True
Mary,Knutsson,Gentorget 3,Skellefteå,28684,Sverige,SE,19760504-5087,+46,+46 (0)8 198 405 20,1976-05-04,True
Alina,Heinonen,Vaakalinnunpolku 302,Salo,92562,Finland,FI,19851029-411A,+358,+358 03 0191622,1985-10-29,True
Greta,Bergström,Björkvägen 9,Karlstad,95459,Sverige,SE,19941112-2576,+47,0270-436 12,1994-11-12,True
Jonas,Franzén,Kyrkogatan 08,Örnsköldsvik,89289,Sverige,SE,19611006-1316,+46,0572-53 26 08,1961-10-06,True
Gloria,Terry,Olson Plaza 044,South Erica,32061,Danmark,DK,19780214-7160,+45,+1-246-617-5433x3641,1978-02-14,True
Mari,Gundersen,Lieeggen 398,Håkonfjell,3894,Norge,NO,19680421-3998,+47,966 45 879,1968-04-21,True
Amanda,Munoz,Swanson Drives 154,South Howard,93016,Danmark,DK,19551123-7164,+45,4216959225,1955-11-23,True
Mari,Karlsen,Ellingsenjordet 4,Hansen,6960,Norge,NO,19460915-7597,+47,46202958,1946-09-15,False
Anette,Aas,Lundholtet 4,Martinsen,0531,Norge,NO,19590527-7830,+47,97192466,1959-05-27,True
Karin,Hansen,Gengatan 7,Varberg,87979,Sverige,SE,19911017-4301,+46,002-992 64 91,1991-10-17,True
Tobias,Johansson,Kvarnvägen 8,Växjö,71308,Sverige,SE,19770920-4677,+46,08-253 33 72,1977-09-20,True
Britt,Berglund,Fabriksgatan 846,Borlänge,67501,Sverige,SE,19570403-8547,+46,+46 (0)8 431 480 91,1957-04-03,True
Monica,Andreassen,Hauggata 4,Karleid,8764,Norge,NO,19590921-4717,+47,27 38 29 95,1959-09-21,True
Jeffrey,Beard,Ayala Grove 9482,Christopherside,10155,Danmark,DK,19651003-1181,+45,(725)729-2286x4947,1965-10-03,True
Yvonne,Bengtsson,Villagränd 593,Landskrona,53239,Sverige,SE,19641118-9474,+46,+46 (0)8 621 751 73,1964-11-18,True
Petter,Olsson,Åkergatan 98,Örnsköldsvik,84278,Sverige,SE,19600926-2903,+46,+46 (0)8 383 801 78,1960-09-26,True
Bo,Martinsson,Kyrktorget 663,Jönköping,25525,Sverige,SE,19531028-4657,+46,08-581 60 76,1953-10-28,True
Elisabet,Näslund,Furugränd 0,Sandviken,10289,Sverige,SE,19780421-3521,+46,08-307 46 10,1978-04-21,True
Kim,Karlsson,Kyrkovägen 46,Trollhättan,78571,Sverige,SE,19491204-8617,+46,046-853 10 69,1949-12-04,True
Tore,Nilsson,Idrottstorget 911,Skövde,67638,Sverige,SE,19760526-7351,+46,+46 (0)8 674 600 77,1976-05-26,True
Margaret,Schwartz,David Center 137,Hernandezton,57209,Danmark,DK,19420630-3208,+45,396-819-0566x07752,1942-06-30,True
Gunn,Aune,Lienberget 63,Brekke,7009,Norge,NO,19610723-1066,+47,55263866,1961-07-23,True
Edward,Acosta,Ricky Alley 07692,Lake Tara,53363,Danmarj,DK,19470820-4476,+45,+1-212-928-8965x91162,1947-08-20,True
Stig,Svensson,Stationsgränd 14,Uppsala,81498,Sverige,SE,19900212-5173,+46,040-28 80 32,1990-02-12,True
Vilde,Lunde,Andresenflata 6,Engen,5784,Norge,NO,19890910-9237,+47,42560209,1989-09-10,True
Kristina,Gustavsson,Ängsgränd 6,Stockholm,73393,Sverige,SE,19460807-4318,+46,+46 (0)8 284 123 59,1946-08-07,True
Börje,Holmgren,Strandstigen 5,Motala,42810,Sverige,SE,19780218-9803,+46,08-307 02 95,1978-02-18,True
Katarina,Bengtsson,Skolgatan 58,Alingsås,31257,Sverige,SE,19640127-9601,+46,+46 (0)65 72 71 49,1964-01-27,True
Elizabeth,Mclaughlin,Smith Lock 497,West Jeffreyville,39430,Danmark,DK,19630908-2259,+45,851.327.5079x090,1963-09-08,True
Judith,Lee,Crystal Mews 97299,Port Brendaport,58564,Danmark,DK,19681229-4890,+45,539.784.6771x967,1968-12-29,True
Eeva,Turunen,Yläkaskenpolku 3,Nivala,64538,Finland,FI,19911203-342D,+358,074 619 3714,1991-12-03,True
James,Anderson,Ashley Estates 3223,Haleyhaven,44917,Danmark,DK,19950308-7799,+358,879.620.2398x733,1995-03-08,True
Irene,Ruud,Hellandgjerdet 70,Malinvær,4579,Norge,NO,19601020-2079,+47,47029529,1960-10-20,True
Adrian,Helland,Haugeskogen 2,Robertfjord,8831,Norge,NO,19570131-4710,+47,448 12 259,1957-01-31,True
Kristina,Lind,Idrottsgatan 220,Sundsvall,75920,Sverige,SE,19450620-5700,+46,+46 (0)689 858 44,1945-06-20,True
Olivia,Barr,Peters Trail 35295,Penningtonport,04104,Danmark,DK,19750712-7893,+45,(573)689-1856x6871,1975-07-12,True
Gunnar,Lundqvist,Idrottsgatan 14,Umeå,40348,Sverige,SE,19970311-4177,+46,+46 (0)55 29 76 21,1997-03-11,True
Øyvind,Andersen,Myklebustgata 897,Heleneøy,3465,Norge,NO,19510514-3977,+47,414 44 359,1951-05-14,True
Harold,Steele,Diane Canyon 3644,Alejandroville,10212,Danmark,DK,19900827-2300,+45,8336860504,1990-08-27,True
Juha,Kettunen,Waseniuksen puistopolku 0,Sonkajärvi,79609,Finland,FI,19850718-3031,+358,048 628 9608,1985-07-18,True
Valdemar,Lundqvist,Åkertorget 82,Uppsala,14586,Sverige,SE,19950119-5629,+46,086-843 25 62,1995-01-19,True
Ingrid,Andersson,Åkergränd 6,Umeå,32507,Sverige,SE,19680523-4114,+46,08-292 681 80,1968-05-23,True
Madeleine,Berntsson,Backgatan 252,Kalmar,32347,Sverige,SE,19780804-4371,+46,08-306 066 83,1978-08-04,True
Charles,Garcia,Christine Square 12195,Stacyfort,79719,Danmark,DK,19570201-1149,+45,471-435-9313x9567,1957-02-01,True
Tor,Antonsen,Lienalléen 64A,Hanssen,9445,Finland,NO,19720326-0056,+47,92248540,1972-03-26,True
Maria,Josefsson,Aspgränd 1,Västerås,35994,Sverige,SE,19491206-6625,+46,0936-52 21 19,1949-12-06,True
Emelie,Johansson,Järnvägsgatan 7,Gävle,46836,Sverige,SE,19840102-8677,+46,0497-884 89,1984-01-02,True
Emil,Kristoffersen,Hauglandgjerdet 6,Thorsen,7940,Norge,NO,19921204-2569,+47,982 70 913,1992-12-04,True
David,Lane,James Shore 2361,East Kurtburgh,34597,Danmark,DK,19980311-7336,+45,284.254.4929x63773,1998-03-11,True
Ingrid,Johansson,Bäckstigen 3,Trollhättan,68109,Sverige,SE,19890825-2748,+46,010-66 86 45,1989-08-25,True
Timothy,Jordan,Morris Courts 4819,New Monica,79014,Danmark,DK,19940801-4611,+45,248.493.7693x931,1994-08-01,True
Andrea,Ødegård,Eliassenringen 6,Mariteid,1703,Norge,NO,19870409-1555,+47,458 23 571,1987-04-09,True
Erik,Nilsson,Trädgårdsstigen 1,Örebro,52965,Sverige,SE,19740506-3676,+46,08-324 144 19,1974-05-06,True
Lilly,Lindqvist,Skolgatan 4,Alingsås,30452,Sverige,SE,19951111-9795,+46,08-386 146 76,1995-11-11,True
Roger,Dahl,Halvorsenalléen 9,Sandvik,5106,Norge,NO,19410108-4461,+47,98140354,1941-01-08,True
Birgitta,Nordström,Genstigen 86,Karlskoga,86179,Sverige,SE,19540408-6908,+46,+46 (0)8 877 770 31,1954-04-08,True
Emilia,Lundström,Skolvägen 587,Stockholm,90176,Sverige,SE,19570607-1644,+46,08-293 326 20,1957-06-07,True
Maria,Hansson,Parkgränd 97,Uddevalla,63124,Sverige,SE,19800710-8510,+46,08-519 177 62,1980-07-10,True
Evert,Nordström,Furuvägen 634,Lidköping,93693,Sverige,SE,19890315-2831,+46,067-679 63 47,1989-03-15,True
Hanna,Tangen,Tveitstien 80A,Leifø,1503,Norge,NO,19521113-1296,+47,36078948,1952-11-13,True
William,Payne,Moore Port 965,Port Steven,01461,Danmark,DK,19700313-8877,+45,366.446.3864,1970-03-13,True
Michele,Miles,Jennifer Circles 0808,Campbellstad,02996,Danmark,DK,19550706-6923,+45,+1-205-953-9366,1955-07-06,True
Elsa,Lundmark,Industrigatan 43,Motala,10503,Sverige,SE,19871005-4460,+46,08-744 782 00,1987-10-05,True
Karl,Jenssen,Bergemarka 5,Sandvik,7800,Norge,NO,19921005-2530,+47,482 84 894,1992-10-05,True
Sissel,Andreassen,Pedersenvollen 32,Gunnvåg,9524,Norge,NO,19480221-6687,+47,16611801,1948-02-21,True
Anna,Olsson,Parkgränd 7,Uddevalla,42905,Sverige,SE,19820830-9117,+46,08-11 95 35,1982-08-30,True
Siv,Edvardsen,Birkelandeggen 332,Aune,2775,Norge,NO,19460523-1880,+47,+4734892818,1946-05-23,True
Åke,Hellberg,Industritorget 15,Uppsala,93317,Sverige,SE,19771103-7999,+46,08-08 15 20,1977-11-03,True
Eva,Hansson,Nygränd 66,Kalmar,81223,Sverige,SE,19400622-5877,+46,08-94 57 19,1940-06-22,True
Mikael,Pettersson,Fabriksgatan 58,Helsingborg,30287,Sverige,SE,19800930-1334,+46,041-467 45 24,1980-09-30,True
Matthew,Thomas,Mckinney Green 22526,Meghanchester,52032,Danmark,DK,19660620-8571,+45,6144846933,1966-06-20,True
Lisbeth,Nordström,Parkgatan 0,Skövde,96653,Sverige,SE,19930601-2605,+46,0684-327 23,1993-06-01,True
Ingela,Ericsson,Skolgränd 43,Kristianstad,44167,Sverige,SE,19810124-3139,+46,08-652 27 45,1981-01-24,True
Svea,Roos,Furugatan 60,Nyköping,24280,Sverige,SE,19480122-6573,+46,08-35 66 71,1948-01-22,True
Bobby,Thomas,Joe Fort 7417,Erinton,83669,Danmark,DK,19880502-1855,+45,6573311320,1988-05-02,True
Peter,Göransson,Strandstigen 22,Malmö,92014,Sverige,SE,19880810-0866,+46,+46 (0)325 325 63,1988-08-10,True
Eva,Lindberg,Grangatan 9,Kalmar,42050,Sverige,SE,19630311-5634,+46,0408-787 93,1963-03-11,True
Anne,Carter,Michael Glen 69198,New Stacy,19735,Danmark,DK,19570217-7193,+45,(641)580-6896x241,1957-02-17,True
Gro,Christensen,Ødegårdbakken 9,Nygård,7488,Norge,NO,19681117-4231,+47,39877464,1968-11-17,True
Tuula,Helminen,Tyynelänkatu 18,Kemiönsaari,77871,Finland,FI,19590111-549D,+358,+358 892949940,1959-01-11,True
Jon,Johannessen,Haugmarka 30,Arildnes,5651,Norge,NO,19781104-0126,+47,00914017,1978-11-04,True
Gustaf,Jansson,Strandvägen 2,Göteborg,88493,Sverige,SE,19810407-8463,+46,+46 (0)49 74 01 26,1981-04-07,True
Stephanie,French,Patel Ranch 597,South Meganstad,69473,Danmark,DK,19740119-9109,+45,(468)347-9895x6435,1974-01-19,True
Cecilia,Gustavsson,Fabrikstorget 8,Karlstad,86894,Sverige,SE,19470204-9906,+46,086-96 47 86,1947-02-04,True
Bjørn,Jørgensen,Jakobsenberget 4D,Helgestrand,3343,Norge,NO,19851117-7661,+47,+47 09 22 77 38,1985-11-17,True
Linda,Andresen,Karlsentoppen 3B,Kjelløy,8172,Norge,NO,19700731-6474,+47,30922991,1970-07-31,True
Anders,Andersson,Gengatan 78,Luleå,75162,Sverige,SE,19830915-3102,+46,+46 (0)8 151 375 73,1983-09-15,True
Monica,Johannessen,Amundsenkroken 5,Haugland,4184,Norge,NO,19531125-4889,+47,91379312,1953-11-25,True
Gunilla,Bergström,Genvägen 4,Norrköping,80340,Sverige,SE,19920414-6552,+46,0042-78 83 76,1992-04-14,True
Linus,Olsson,Ringvägen 59,Karlskrona,68449,Sverige,SE,19830913-2846,+46,+46 (0)350 345 60,1983-09-13,True
Rolf,Danielsen,Lundlyngen 10G,Olefjord,6997,Norge,NO,19830216-2609,+47,+47 78 40 36 50,1983-02-16,True
Cecilie,Larsen,Eideengen 79B,Myklebust,0928,Norge,NO,19700125-3001,+47,04 90 13 25,1970-01-25,True
Inga,Eriksson,Skolstigen 437,Uppsala,35600,Sverige,SE,19730525-0330,+46,08-100 64 81,1973-05-25,True
Jeremy,Foster,Moore Ranch 233,Andersonstad,98721,Danmark,DK,19600331-4667,+45,001-390-426-4378,1960-03-31,True
Tove,Gulbrandsen,Sætherringen 00B,Linneid,5388,Norge,NO,19491218-8294,+47,494 14 608,1949-12-18,True
Sture,Blom,Ringvägen 530,Borlänge,91659,Sverige,SE,19590608-9649,+46,086-80 41 57,1959-06-08,True
Olov,Johansson,Kyrktorget 58,Nyköping,32195,Sverige,SE,19590726-1944,+46,0711-95 28 74,1959-07-26,True
Turid,Fredriksen,Rasmussenlyngen 95B,Lie,5977,Norge,NO,19691122-9323,+47,976 30 574,1969-11-22,True
Claes,Eriksson,Idrottsgatan 73,Halmstad,61729,Sverige,SE,19460908-0768,+46,08-25 98 56,1946-09-08,True
Christian,Nichols,Andrew Lane 902,Markport,28117,Danmark,DK,19610927-7173,+45,(242)761-4701,1961-09-27,True
Daniel,Ryan,Kennedy Trail 962,West Jennafort,51056,Danmark,DK,19751115-8059,+45,+1-438-951-4294x099,1975-11-15,True
Johan,Norberg,Trädgårdsvägen 288,Alingsås,22639,Sverige,SE,19441105-9209,+46,+46 (0)728 761 21,1944-11-05,True
Kaarina,Ahonen,Agronominbulevardi 8,Lumijoki,97323,Finland,FI,19560227-325L,+358,(+358) 837387562,1956-02-27,True
Åsa,Jonsson,Parkstigen 59,Stockholm,13657,Sverige,SE,19710622-0172,+46,+46 (0)48 88 73 23,1971-06-22,True
Rune,Erlandsson,Villavägen 111,Göteborg,28514,Sverige,SE,19800801-1883,+46,074-610 71 16,1980-08-01,True
Viola,Jensen,Aspvägen 53,Malmö,77059,Sverige,SE,19881219-2996,+46,08-53 19 31,1988-12-19,True
Björn,Larsson,Kvarngränd 113,Trelleborg,72831,Sverige,SE,19720108-9681,+46,0854-329 72,1972-01-08,True
Cynthia,Moreno,Benjamin Lock 515,Brooksstad,89659,Danmark,DK,19740827-2152,+45,(948)765-0327,1974-08-27,True
Johan,Lundin,Furugränd 82,Sundsvall,58966,Sverige,SE,19930112-5027,+46,0307-980 74,1993-01-12,True
Jennie,Berggren,Storgränd 93,Malmö,74883,Sverige,SE,19471122-8557,+46,0994-891 96,1947-11-22,True
Mona,Eriksson,Ringvägen 39,Luleå,60455,Sverige,SE,19720224-1146,+46,08-125 737 96,1972-02-24,True
Joshua,Walker,Vazquez Underpass 4494,Longfort,00828,Danmark,DK,19571213-3910,+45,218.580.4079,1957-12-13,True
David,Johansson,Villagränd 25,Trelleborg,62829,Sverige,SE,19810911-8704,+46,0221-87 68 68,1981-09-11,True
Gerd,Dahl,Thorsenroa 97,Mariaås,7289,Norge,NO,19680912-3915,+47,+47 79 83 58 01,1968-09-12,True
Simen,Vik,Aasenstien 98,Berg,1055,Norge,NO,19440111-5689,+47,00 38 65 66,1944-01-11,True
Valborg,Olofsson,Strandgatan 576,Varberg,89421,Sverige,SE,19471230-0397,+46,071-17 80 96,1947-12-30,True
Magdalena,Öberg,Storgränd 4,Karlstad,28263,Sverige,SE,19891016-5221,+46,0440-057 63,1989-10-16,True
Mette,Paulsen,Haugenbakken 50,Astridfjell,0386,Norge,NO,20001008-3366,+47,65 31 15 78,2000-10-08,True
Kenneth,Fredriksen,Arnesenstubben 48,Gundersen,2841,Norge,NO,19550125-4073,+47,53773035,1955-01-25,True
Sigurd,Berg,Pedersengata 6B,Gunnarøy,7569,Norge,NO,19940223-6882,+47,60 84 65 72,1994-02-23,True
Gro,Birkeland,Amundsenstykket 5,Einarstad,7916,Norge,NO,19690109-8219,+47,44812864,1969-01-09,True
Björn,Gustafsson,Björkgatan 6,Uddevalla,81217,Sverige,SE,19940701-0773,+46,0149-769 94,1994-07-01,True
Angela,Diaz,Valerie Creek 49435,West Paul,56016,Danmark,DK,19690411-3898,+45,(844)413-5582,1969-04-11,True
Shane,Henry,Gonzales Motorway 44675,West Micheleville,32732,Danmark,DK,20001017-5541,+45,264-670-1520x16080,2000-10-17,True
Eeva,Paavola,Ahomäenkuja 2,Koski Tl,89296,Finland,FI,19570521-4005,+358,(+358) 888582823,1957-05-21,True
Malin,Eriksson,Björkvägen 577,Karlskoga,65630,Sverige,SE,19421213-0561,+46,+46 (0)12 15 36 85,1942-12-13,True
Sara,Eliasson,Ringvägen 923,Borås,60557,Sverige,SE,19830125-1187,+46,0391-11 50 82,1983-01-25,True
Kjell,Dahl,Bakkeskogen 36A,Jonashelle,8949,Norge,NO,19960705-2971,+47,+4720916471,1996-07-05,True
Per,Gustavsson,Kvarnvägen 2,Skellefteå,82788,Sverige,SE,19731127-8610,+46,08-54 29 76,1973-11-27,True
Richard,Pennington,Denise Pines 87483,Cooperfort,85847,Danmark,DK,19630927-1532,+45,001-419-750-0631,1963-09-27,True
Reidun,Madsen,Madsenbakken 407,Solveigø,2168,Norge,NO,19930513-1712,+47,83368613,1993-05-13,True
Jonas,Mathisen,Sandvikstubben 652,Joakimvåg,9062,Norge,NO,19790211-2654,+47,45050303,1979-02-11,True
Artur,Karlsson,Ekvägen 41,Karlskoga,51336,Sverige,SE,19450626-4385,+46,0274-422 44,1945-06-26,True
Arild,Knutsen,Johansenløkka 783,Kristensen,4203,Norge,NO,19550514-0685,+47,44 48 02 79,1955-05-14,True
Julie,Howard,Gregory View 788,Stevensberg,54668,Danmark,DK,19780113-0563,+45,(439)404-8261,1978-01-13,True
George,Savage,Perry Roads 06996,South Sara,73827,Danmark,DK,19440106-4569,+45,899.851.9615x000,1944-01-06,True
Anders,Lindström,Storgatan 0,Göteborg,72332,Sverige,SE,19870326-6246,+46,077-342 00 01,1987-03-26,True
Marie,Karlsson,Skogstorget 11,Trollhättan,59516,Sverige,SE,19551227-1783,+47,+46 (0)06 14 48 88,1955-12-27,True
Elisabet,Holmberg,Backgränd 9,Trollhättan,62108,Sverige,SE,19970816-5209,+46,+46 (0)021 389 74,1997-08-16,True
Rita,Hanssen,Lundealléen 9,Torillsund,9957,Norge,NO,20001126-6136,+47,52 52 46 95,2000-11-26,True
Sebastian,Berg,Skogstorget 1,Helsingborg,78450,Sverige,SE,19980623-9747,+46,0313-02 21 99,1998-06-23,True
Lars,Gustafsson,Kyrkgatan 4,Lund,21731,Sverige,SE,19631016-3050,+46,+46 (0)82 91 66 30,1963-10-16,True
Stian,Antonsen,Vikløkka 1,Emilieeid,9092,Norge,NO,19800128-0813,+47,54 48 83 14,1980-01-28,False
Michael,Anderson,Andrea Islands 715,Brewerbury,83201,Danmark,DK,19630830-8839,+45,993.665.0802x3359,1963-08-30,True
Gunnar,Moe,Berntsenrøa 9,Hannehelle,6890,Norge,NO,19871103-2680,+47,35 20 76 13,1987-11-03,True
Patrick,Ross,Kim Road 1234,East Danielstad,41091,Danmark,DK,19910405-2148,+45,(552)849-0135x517,1991-04-05,True
Karin,Nyberg,Furutorget 394,Göteborg,71215,Sverige,SE,19991015-5409,+46,+46 (0)951 555 18,1999-10-15,True
Annika,Hansen,Åkertorget 5,Borås,64593,Sverige,SE,19520203-7336,+46,+46 (0)860 244 69,1952-02-03,True
William,Lopez,Collins Inlet 44605,Antoniohaven,50119,Danmark,DK,19840403-3719,+45,(229)809-5588,1984-04-03,True
Victor,Hellström,Ängsgatan 4,Alingsås,90353,Sverige,SE,19730517-1702,+46,0210-593 66,1973-05-17,True
Lisa,Cruz,Best Trail 43284,West Alexanderstad,49584,Danmark,DK,19430223-5917,+45,400-376-8124x91241,1943-02-23,True
Britt-Marie,Löfgren,Gengränd 54,Piteå,66495,Sverige,SE,19530813-8549,+46,+46 (0)122 752 09,1953-08-13,True
Mikaela,Jansson,Grangatan 80,Ängelholm,78484,Sverige,SE,19571105-5551,+46,0218-816 50,1957-11-05,True
Karl,Claesson,Idrottstorget 09,Skövde,67997,Sverige,SE,19490120-1676,+46,+46 (0)8 962 223 51,1949-01-20,True
Linda,Olsson,Fabriksgatan 5,Gävle,69041,Sverige,SE,19510908-7972,+46,08-157 083 98,1951-09-08,True
Tore,Andersson,Kyrkostigen 251,Lidingö,41684,Sverige,SE,19440108-4241,+46,+46 (0)266 310 10,1944-01-08,True
Staffan,Olofsson,Ängsgatan 783,Södertälje,14370,Sverige,SE,19410217-2472,+46,+46 (0)8 515 091 83,1941-02-17,True
Erik,Boström,Grangatan 69,Sundsvall,48623,Sverige,SE,19860404-6871,+46,08-879 250 27,1986-04-04,True
Bente,Jørgensen,Nguyeneggen 762,Jennystrand,8795,Norge,NO,19710702-2133,+47,05850075,1971-07-02,True
Mallory,Carr,Jennifer Mountains 950,East Nicholas,05385,Danmark,DK,19480119-9770,+45,(704)272-2293x89137,1948-01-19,True
Kasper,Järvinen,Eino Leinon katu 26,Ristijärvi,29195,Finland,FI,19770617-273Y,+358,+358 347930801,1977-06-17,True
Katherine,Lowe,Mathis Ports 52722,Royburgh,84395,Danmark,DK,19860922-6169,+45,689.468.3852x96063,1986-09-22,True
Unni,Eide,Hagenlyngen 86A,Næss,0972,Norge,NO,19740112-2436,+47,423 17 523,1974-01-12,True
Marie,Persson,Backtorget 63,Västerås,36463,Sverige,SE,19530927-0162,+46,+46 (0)43 85 48 60,1953-09-27,True
Teija,Kulmala,Urheilupolku 502,Perho,40892,Finland,FI,19851204-444C,+358,0931532561,1985-12-04,True
Knut,Karlsen,Moengata 6,Frankstrøm,8160,Norge,NO,19701214-1426,+47,18 04 97 44,1970-12-14,True
Elisabet,Eliasson,Stationstorget 817,Skövde,20274,Sverige,SE,19840130-2992,+46,+46 (0)733 069 28,1984-01-30,True
Helen,Eriksson,Björkvägen 068,Jönköping,93203,Sverige,SE,19940228-4397,+46,+46 (0)06 64 49 28,1994-02-28,True
Ola,Thomassen,Larseneggen 3,Johannesvåg,8662,Norge,NO,19630326-4703,+47,24 83 42 14,1963-03-26,True
John,Berglund,Bäckvägen 3,Lund,32846,Sverige,SE,19811027-7857,+46,080-74 90 46,1981-10-27,True
Maria,Norberg,Nygatan 22,Norrköping,38098,Sverige,SE,19590321-3111,+46,007-872 88 55,1959-03-21,True
Peter,Andersson,Järnvägsstigen 61,Trollhättan,70784,Sverige,SE,19581123-9432,+46,08-69 78 52,1958-11-23,True
Hans,Eriksson,Industrigatan 07,Göteborg,67066,Sverige,SE,19991107-1427,+46,+46 (0)190 065 56,1999-11-07,True
Sofia,Andersson,Kvarnvägen 24,Kalmar,56952,Sverige,SE,19430622-8866,+46,+46 (0)90 45 39 11,1943-06-22,True
Leif,Fransson,Kvarnvägen 453,Jönköping,80881,Sverige,SE,19780526-4910,+46,08-89 18 58,1978-05-26,True
Svein,Ali,Jørgensensvingen 2C,Arnesen,0490,Norge,NO,19441210-8754,+47,83419940,1944-12-10,True
Johannes,Korhonen,Benktanbulevardi 3,Haapajärvi,37974,Finland,FI,19830420-078S,+358,(+358) 408553505,1983-04-20,True
Linnéa,Johansson,Villagränd 4,Nyköping,19131,Sverige,SE,19960410-0087,+46,0048-189 59,1996-04-10,True
Fredrik,Borg,Aspstigen 2,Skövde,52611,Sverige,SE,19851224-2279,+46,046-831 69 78,1985-12-24,True
Gunborg,Lindqvist,Åkervägen 9,Umeå,79248,Sverige,SE,19850528-8045,+46,0322-642 38,1985-05-28,True
